GROUP,Value
No Epsilon,0
No Epsilon,1
No Epsilon,2
No Epsilon,2
No Epsilon,1
No Epsilon,1
No Epsilon,2
No Epsilon,0
No Epsilon,1
No Epsilon,1
No Epsilon,2
No Epsilon,0
No Epsilon,0
No Epsilon,1
No Epsilon,1
No Epsilon,1
No Epsilon,0
No Epsilon,0
No Epsilon,0
No Epsilon,0
Epsilon,6
Epsilon,11
Epsilon,7
Epsilon,4
Epsilon,8
Epsilon,2
Epsilon,6
Epsilon,5
Epsilon,8
Epsilon,6
Epsilon,5
Epsilon,2
Epsilon,6
Epsilon,3
Epsilon,10
Epsilon,8
Epsilon,12
Epsilon,8
Epsilon,9
Epsilon,7
