time,MSD,k,error
1,1,0.1,0
2,2.186,0.1,0.04452754204
3,3.424,0.1,0.08220773686
5,5.78,0.1,0.1549703197
8,9.632,0.1,0.2771214319
13,15.812,0.1,0.4648078399
21,24.696,0.1,0.7415347544
34,42.126,0.1,1.288121136
55,69.212,0.1,2.142180554
88,112.034,0.1,3.532562161
142,173.936,0.1,5.483445445
227,274.316,0.1,8.691712724
365,456.341158,0.1,14.84469383
586,712.1021706,0.1,21.94090558
941,1117.620051,0.1,36.47768947
1509,1778.82281,0.1,57.89082222
2422,2836.681411,0.1,87.21940983
3885,4673.182341,0.1,143.237206
6233,7572.264591,0.1,240.0370416
10000,12254.57813,0.1,383.4406617
1,1,0.5,0
2,2.878,0.5,0.04018156294
3,5.316,0.5,0.08916317626
5,10.36,0.5,0.218144906
8,18.036,0.5,0.4430252273
13,32.152,0.5,0.8579000221
21,52.624,0.5,1.459027523
34,89.042,0.5,2.659615972
55,142.388,0.5,4.29444254
88,236.796,0.5,7.310044267
142,383.298,0.5,12.30580666
227,625.832,0.5,19.76170129
365,995.760916,0.5,32.19518302
586,1624.56588,0.5,50.39581808
941,2604.228283,0.5,82.22124106
1509,4016.514114,0.5,128.4790301
2422,6469.750257,0.5,208.6508118
3885,10401.59488,0.5,322.0535917
6233,17172.6728,0.5,504.9771694
10000,26584.55184,0.5,806.3080319
1,1,1,0
2,3.508,1,0.02937631699
3,7.124,1,0.0757912396
5,16.7,1,0.2302759215
8,34.73,1,0.5822899192
13,68.456,1,1.409787229
21,124.848,1,2.998467016
34,221.312,1,5.993610208
55,385.172,1,11.04756268
88,627.822,1,18.76160772
142,1045.524,1,32.42316232
227,1610.144,1,49.59300775
365,2589.625072,1,80.65667528
586,4187.226813,1,141.082495
941,6904.813613,1,232.0769167
1509,11181.10441,1,359.1302504
2422,17729.19655,1,564.7871512
3885,26638.4286,1,825.1095592
6233,43158.93121,1,1397.29837
10000,70427.38347,1,2299.714463
