time,MSD,k,error
1,1,0.1,0
2,2.106,0.1,0.03188074654
3,3.26,0.1,0.05788091223
5,5.41,0.1,0.104727981
8,8.904,0.1,0.1849199611
13,14.626,0.1,0.3056960288
21,23.3,0.1,0.4768762942
34,37.176,0.1,0.7960279593
55,60.33,0.1,1.324696022
88,99.419,0.1,2.191140849
142,155.885,0.1,3.425583802
227,251.532,0.1,5.43157385
365,401.348,0.1,9.043733048
586,646.913,0.1,15.19210368
941,1038.854,0.1,24.41311855
1509,1680.446,0.1,38.35837591
2422,2647.884,0.1,59.28073811
3885,4262.448,0.1,93.35410521
6233,6785.586,0.1,150.7728942
10000,10692.523,0.1,235.4123361
1,1,0.5,0
2,2.601,0.5,0.03231717036
3,4.362,0.5,0.06776782422
5,7.906,0.5,0.1466068962
8,13.246,0.5,0.2563781231
13,21.586,0.5,0.4442074988
21,35.94,0.5,0.7673058061
34,62.048,0.5,1.301044522
55,100.502,0.5,2.176514645
88,160.198,0.5,3.537985359
142,258.637,0.5,5.713937532
227,427.724,0.5,9.449513951
365,691.28,0.5,15.22568937
586,1090.049,0.5,24.41676817
941,1744.91,0.5,38.33575449
1509,2797.65,0.5,61.76364388
2422,4427.144,0.5,98.44315045
3885,7078.842,0.5,157.2626552
6233,11259.26,0.5,246.6570445
10000,18125.475,0.5,396.7602168
1,1,1,0
2,3.206,1,0.02984597125
3,6.12,1,0.0713638564
5,13.274,1,0.1850147616
8,25.406,1,0.4158095502
13,46.086,1,0.8783019424
21,81.264,1,1.60337056
34,133.928,1,2.83853332
55,225.758,1,4.854868558
88,370.189,1,8.129028548
142,595.383,1,13.33554298
227,926.792,1,20.86275692
365,1557.696,1,35.45371729
586,2421.456,1,54.87316537
941,3957.854,1,88.46659853
1509,6373.704,1,138.3021526
2422,10061.297,1,218.3630043
3885,16570.502,1,359.7064819
6233,25224.54,1,562.1948184
10000,39317.541,1,805.62364
