time,MSD,omega,error
1,1,0.1,0
2,0.492,0.1,0.0415443859
3,1.672,0.1,0.07017418329
5,3.088,0.1,0.1387669125
8,5.332,0.1,0.2443640235
13,8.224,0.1,0.3792701201
21,12.568,0.1,0.6710032608
34,19.168,0.1,1.031602528
55,22.576,0.1,1.489057495
88,24.908,0.1,1.748468912
142,28.98,0.1,2.357242372
227,30.44,0.1,2.208457924
365,25.75044,0.1,2.018349504
586,24.52175044,0.1,1.76445702
941,24.40852175,0.1,1.945306837
1509,24.48840852,0.1,2.285709046
2422,26.07648841,0.1,2.01887912
3885,27.47407649,0.1,2.284673057
6233,27.65147408,0.1,2.134277053
10000,27.93965147,0.1,2.137368386
1,1,0.01,0
2,0.644,0.01,0.04648939664
3,1.68,0.01,0.0705521084
5,3.624,0.01,0.1423046872
8,6.552,0.01,0.2621436553
13,11.456,0.01,0.4828416552
21,19.184,0.01,0.8384546165
34,31.908,0.01,1.454661313
55,46.464,0.01,2.059382603
88,76.844,0.01,3.54769216
142,133.84,0.01,5.915122856
227,192.944,0.01,9.594334832
365,277.576944,0.01,12.51514182
586,389.7135769,0.01,20.05864516
941,614.8697136,0.01,30.52700177
1509,859.3108697,0.01,43.69927761
2422,1120.615311,0.01,74.23587342
3885,1222.336615,0.01,74.42749598
6233,1230.102337,0.01,86.11041433
10000,1391.126102,0.01,114.3481996
1,1,0.005,0
2,0.704,0.005,0.04817036433
3,1.824,0.005,0.07689618976
5,3.944,0.005,0.1624957353
8,6.288,0.005,0.250976206
13,11.896,0.005,0.50450489
21,19.976,0.005,0.826195754
34,31.84,0.005,1.441878774
55,48.064,0.005,2.113928074
88,84.892,0.005,4.114558097
142,140.02,0.005,6.154359723
227,225.936,0.005,10.13185175
365,325.209936,0.005,14.21494928
586,531.6372099,0.005,24.42110053
941,783.9556372,0.005,35.56341045
1509,1262.871956,0.005,61.46081794
2422,1654.978872,0.005,87.10342659
3885,2530.750979,0.005,122.2555593
6233,3387.754751,0.005,199.4452515
10000,4094.335755,0.005,262.2297919
