time,MSD,k,error
1,1,0,0
2,1.686,0,0.03287403231
3,2.422,0,0.05012941252
5,3.572,0,0.08539559708
8,4.993,0,0.1362937104
13,6.594,0,0.203797895
21,7.754,0,0.2748158329
34,7.825,0,0.320140106
55,7.902,0,0.3207011038
88,7.791,0,0.3267861067
142,7.796,0,0.3267861067
227,7.878,0,0.3212204196
365,7.878,0,0.3212204196
586,7.796,0,0.3267647349
941,7.878,0,0.3212204196
1509,7.878,0,0.3212204196
2422,7.796,0,0.3267647349
3885,7.878,0,0.3212204196
6233,7.878,0,0.3212204196
10000,7.796,0,0.3267647349
1,1,0.5,0
2,2.31,0.5,0.03605481937
3,3.656,0.5,0.06747467673
5,6.03,0.5,0.1352684368
8,9.12,0.5,0.2224068344
13,13.762,0.5,0.364211035
21,18.208,0.5,0.544123486
34,23.029,0.5,0.7875744914
55,25.28,0.5,0.9510713958
88,26.363,0.5,1.081890528
142,26.533,0.5,1.097452029
227,26.56,0.5,1.086605356
365,26.56,0.5,1.086605356
586,26.525,0.5,1.097494049
941,26.56,0.5,1.086605356
1509,26.56,0.5,1.086605356
2422,26.525,0.5,1.097494049
3885,26.56,0.5,1.086605356
6233,26.56,0.5,1.086605356
10000,26.525,0.5,1.097494049
1,1,1,0
2,3.062,1,0.03255883905
3,5.686,1,0.07521104972
5,11.446,1,0.1923032553
8,20.253,1,0.4080575885
13,34.352,1,0.7839681422
21,55.91,1,1.333906275
34,84.958,1,2.145812461
55,117.646,1,3.0950986
88,152.139,1,4.476647779
142,189.858,1,6.481863306
227,207.536,1,7.904040508
365,214.864,1,8.607287073
586,213.737,1,8.413584279
941,214.04,1,8.416157033
1509,214.04,1,8.416157033
2422,213.833,1,8.419676303
3885,214.04,1,8.416157033
6233,214.04,1,8.416157033
10000,213.833,1,8.419676303
