X,omega
52,0
31,0
81,0
52,0
72,0
16,0
40,0
51,0
44,0
93,0
0,0
20,0
66,0
29,0
74,0
39,0
20,0
24,0
82,0
69,0
83,0
100,0
80,0
31,0
61,0
58,0
38,0
0,0
34,0
97,0
13,0
52,0
40,0
10,0
2,0
60,0
30,0
53,0
28,0
82,0
35,0
76,0
72,0
30,0
17,0
32,0
75,0
11,0
68,0
93,0
56,0
34,0
70,0
81,0
71,0
74,0
59,0
79,0
31,0
96,0
87,0
88,0
49,0
93,0
25,0
0,0
99,0
57,0
1,0
41,0
0,0
73,0
34,0
78,0
47,0
48,0
58,0
34,0
92,0
64,0
29,0
35,0
51,0
24,0
3,0
23,0
91,0
2,0
36,0
95,0
20,0
33,0
9,0
58,0
63,0
48,0
75,0
63,0
99,0
15,0
54,0
92,0
80,0
80,0
51,0
61,0
40,0
45,0
63,0
58,0
72,0
5,0
72,0
52,0
54,0
56,0
69,0
95,0
29,0
31,0
23,0
66,0
63,0
72,0
64,0
62,0
43,0
23,0
86,0
39,0
30,0
81,0
97,0
97,0
71,0
59,0
90,0
45,0
11,0
88,0
61,0
0,0
50,0
60,0
33,0
97,0
66,0
90,0
80,0
29,0
20,0
74,0
55,0
64,0
44,0
34,0
31,0
8,0
47,0
32,0
60,0
65,0
100,0
99,0
80,0
40,0
82,0
88,0
65,0
44,0
65,0
74,0
41,0
5,0
12,0
97,0
67,0
15,0
12,0
61,0
95,0
48,0
95,0
73,0
12,0
16,0
19,0
79,0
86,0
54,0
57,0
83,0
93,0
52,0
20,0
26,0
83,0
91,0
58,0
9,0
59,0
75,0
46,0
82,0
80,0
58,0
47,0
84,0
31,0
42,0
69,0
79,0
15,0
31,0
36,0
4,0
37,0
13,0
43,0
87,0
97,0
77,0
57,0
46,0
19,0
43,0
36,0
5,0
65,0
49,0
13,0
35,0
36,0
61,0
29,0
41,0
37,0
19,0
41,0
21,0
21,0
76,0
50,0
94,0
28,0
59,0
55,0
75,0
63,0
16,0
38,0
22,0
69,0
98,0
48,0
97,0
81,0
39,0
55,0
8,0
26,0
34,0
56,0
8,0
2,0
64,0
78,0
36,0
45,0
57,0
75,0
50,0
66,0
0,0
29,0
26,0
62,0
13,0
19,0
74,0
32,0
99,0
68,0
0,0
41,0
45,0
31,0
47,0
60,0
21,0
57,0
52,0
5,0
3,0
81,0
96,0
47,0
61,0
86,0
4,0
32,0
36,0
79,0
92,0
85,0
52,0
18,0
43,0
40,0
96,0
78,0
76,0
72,0
38,0
37,0
76,0
79,0
10,0
33,0
14,0
76,0
54,0
100,0
30,0
49,0
12,0
81,0
47,0
55,0
45,0
58,0
42,0
99,0
20,0
27,0
88,0
64,0
81,0
18,0
35,0
43,0
46,0
59,0
50,0
39,0
39,0
70,0
19,0
46,0
83,0
45,0
27,0
90,0
90,0
1,0
21,0
46,0
26,0
3,0
56,0
92,0
100,0
58,0
45,0
85,0
42,0
52,0
79,0
14,0
88,0
99,0
87,0
16,0
74,0
10,0
5,0
31,0
36,0
89,0
84,0
2,0
28,0
79,0
100,0
89,0
84,0
82,0
58,0
79,0
32,0
21,0
97,0
88,0
47,0
59,0
71,0
7,0
34,0
18,0
46,0
94,0
62,0
33,0
10,0
87,0
16,0
41,0
84,0
43,0
19,0
77,0
31,0
27,0
86,0
97,0
37,0
42,0
97,0
0,0
73,0
23,0
58,0
44,0
74,0
82,0
0,0
58,0
1,0
4,0
97,0
88,0
74,0
57,0
56,0
30,0
1,0
73,0
86,0
15,0
16,0
5,0
26,0
29,0
50,0
48,0
79,0
92,0
5,0
100,0
55,0
7,0
20,0
28,0
72,0
39,0
74,0
6,0
92,0
6,0
1,0
25,0
70,0
33,0
12,0
18,0
38,0
97,0
24,0
74,0
0,0
45,0
46,0
87,0
2,0
79,0
72,0
65,0
100,0
14,0
73,0
56,0
16,0
17,0
61,0
49,0
26,0
35,0
79,0
32,0
85,0
88,0
76,0
25,0
39,0
93,0
26,0
84,0
13,0
21,0
19,0
93,0
61,0
62,0
44,0
58,0
81,0
74,0
75,0
89,0
6,0
65,0
71,0
28,0
49,0
73,0
95,0
47,0
75,0
74,0
42,0
62,0
58,0
0,0
78,0
32,0
64,0
68,0
95,0
17,0
15,0
37,0
85,0
42,0
65,0
60,0
97,0
100,0
46,0
75,0
9,0
89,0
68,0
41,0
51,0
79,0
55,0
9,0
83,0
31,0
72,0
84,0
30,0
72,0
12,0
27,0
51,0
6,0
26,0
97,0
90,0
28,0
0,0
2,0
88,0
35,0
14,0
69,0
63,0
75,0
91,0
77,0
32,0
17,0
11,0
43,0
16,0
56,0
18,0
58,0
47,0
60,0
30,0
40,0
89,0
57,0
75,0
97,0
44,0
87,0
49,0
63,0
2,0
21,0
61,0
19,0
69,0
60,0
28,0
82,0
33,0
97,0
0,0
79,0
88,0
25,0
62,0
63,0
73,0
14,0
79,0
89,0
67,0
57,0
78,0
47,0
97,0
22,0
19,0
99,0
54,0
62,0
71,0
2,0
20,0
98,0
85,0
94,0
8,0
86,0
13,0
7,0
36,0
33,0
26,0
45,0
84,0
72,0
36,0
86,0
58,0
15,0
8,0
42,0
33,0
45,0
12,0
99,0
18,0
25,0
37,0
62,0
61,0
80,0
79,0
67,0
75,0
37,0
81,0
17,0
54,0
76,0
40,0
98,0
7,0
46,0
73,0
74,0
95,0
18,0
15,0
71,0
25,0
85,0
41,0
10,0
42,0
12,0
83,0
54,0
12,0
53,0
65,0
47,0
54,0
91,0
14,0
73,0
40,0
26,0
78,0
25,0
71,0
15,0
61,0
57,0
22,0
15,0
97,0
52,0
94,0
57,0
13,0
89,0
64,0
83,0
91,0
30,0
9,0
49,0
44,0
4,0
100,0
35,0
78,0
72,0
78,0
46,0
22,0
33,0
46,0
46,0
50,0
96,0
94,0
26,0
31,0
64,0
77,0
71,0
69,0
47,0
76,0
13,0
45,0
4,0
67,0
80,0
73,0
83,0
65,0
94,0
3,0
63,0
25,0
51,0
12,0
47,0
35,0
56,0
98,0
26,0
94,0
