time,MSD,omega,designation
1,3.223,0,collective
2,4.903,0,collective
3,6.335,0,collective
5,8.989,0,collective
8,12.855,0,collective
13,18.741,0,collective
21,27.737,0,collective
34,40.987,0,collective
55,62.311,0,collective
88,95.159,0,collective
142,149.051,0,collective
227,230.689,0,collective
365,364.235,0,collective
586,572.223,0,collective
941,911.215,0,collective
1509,1538.357,0,collective
2422,2445.613,0,collective
3885,3845.319,0,collective
6233,6099.055,0,collective
1,2.792,0.5,collective
2,4.017,0.5,collective
3,4.881,0.5,collective
5,6.597,0.5,collective
8,8.649,0.5,collective
13,11.131,0.5,collective
21,14.765,0.5,collective
34,20.811,0.5,collective
55,29.541,0.5,collective
88,45.885,0.5,collective
142,71.283,0.5,collective
227,109.733,0.5,collective
365,171.105,0.5,collective
586,267.287,0.5,collective
941,454.009,0.5,collective
1509,716.853,0.5,collective
2422,1182.777,0.5,collective
3885,1926.645,0.5,collective
6233,3140.635,0.5,collective
1,1,0,single
2,1.956,0,single
3,2.992,0,single
5,5.004,0,single
8,8.342,0,single
13,13.732,0,single
21,22.184,0,single
34,34.63,0,single
55,57.548,0,single
88,90.43,0,single
142,146.682,0,single
227,235.04,0,single
365,370.01904,0,single
586,596.370019,0,single
941,975.28837,0,single
1509,1566.295288,0,single
2422,2583.334295,0,single
3885,4193.979334,0,single
6233,6539.445979,0,single
1,1,0.5,single
2,1.736,0.5,single
3,2.564,0.5,single
5,3.9,0.5,single
8,5.6,0.5,single
13,8.364,0.5,single
21,11.74,0.5,single
34,17.382,0.5,single
55,26.648,0.5,single
88,40.612,0.5,single
142,66.538,0.5,single
227,101.108,0.5,single
365,162.065108,0.5,single
586,251.5500651,0.5,single
941,384.7435501,0.5,single
1509,599.9967436,0.5,single
2422,975.6359967,0.5,single
3885,1581.155636,0.5,single
6233,2355.325156,0.5,single
