time,MSD,k,error
1,1,0.1,0
2,2.13,0.1,0.04581593609
3,3.36,0.1,0.08157450582
5,5.252,0.1,0.1484334733
8,9.066,0.1,0.274407806
13,13.924,0.1,0.4284229499
21,22.848,0.1,0.6793002988
34,37.976,0.1,1.147198075
55,60.204,0.1,1.883848822
88,97.052,0.1,3.041480774
142,161.814,0.1,4.962323791
227,248.384,0.1,7.47257844
365,400.556384,0.1,12.88058404
586,633.3485564,0.1,19.86936942
941,1064.721349,0.1,34.25982878
1509,1634.268721,0.1,50.47608299
2422,2636.494269,0.1,83.22346126
3885,4261.312494,0.1,141.3491136
6233,6822.497312,0.1,207.4896874
10000,11408.9065,0.1,369.9298645
1,1,0.5,0
2,2.606,0.5,0.04686964903
3,4.648,0.5,0.09978023852
5,7.948,0.5,0.2082241485
8,12.848,0.5,0.3620730534
13,22.388,0.5,0.6293690936
21,35.98,0.5,1.075456926
34,62.086,0.5,1.95107063
55,101.868,0.5,3.156230438
88,166.066,0.5,5.389736139
142,270.688,0.5,8.198898869
227,426.244,0.5,13.95403327
365,664.210244,0.5,21.49470574
586,1090.91221,0.5,35.54289458
941,1706.350912,0.5,55.64562199
1509,2805.886351,0.5,86.4524438
2422,4539.219886,0.5,153.0049835
3885,7389.94722,0.5,228.7836022
6233,10519.49395,0.5,313.5261633
10000,18143.88949,0.5,578.2201533
1,1,1,0
2,3.262,1,0.04034050074
3,6.196,1,0.09940615675
5,12.82,1,0.2772139968
8,25.08,1,0.5862231657
13,47.988,1,1.209092162
21,78.956,1,2.284458374
34,127.926,1,3.933881356
55,224.036,1,6.945466342
88,362.474,1,10.61124664
142,604.656,1,19.41152425
227,907.12,1,27.98982075
365,1567.39912,1,46.4797197
586,2299.245399,1,72.18399312
941,4020.115245,1,130.3603469
1509,6368.540115,1,212.3310172
2422,10336.73054,1,338.7437542
3885,15450.39673,1,500.1707399
6233,25776.1904,1,812.9484606
10000,41187.35219,1,1310.665433
