time,MSD,k,error
1,1,0,0
2,1.696,0,0.0471124612
3,2.38,0,0.07110274256
5,3.704,0,0.1285627629
8,5.01,0,0.1932249984
13,6.44,0,0.2713049944
21,6.976,0,0.3391746217
34,7.074,0,0.3892897687
55,7.408,0,0.4150681101
88,7.05,0,0.404026608
142,7.05,0,0.404026608
227,7.444,0,0.4256886938
365,7.451444,0,0.425836361
586,7.057451444,0,0.4041896086
941,7.451057451,0,0.4258155936
1509,7.451451057,0,0.4258364878
2422,7.057451451,0,0.4041896088
3885,7.451057451,0,0.4258155936
6233,7.451451057,0,0.4258364878
10000,7.057451451,0,0.4041896088
1,1,0.5,0
2,2.332,0.5,0.05170856796
3,3.672,0.5,0.09631415265
5,6.248,0.5,0.1963122411
8,9.412,0.5,0.318104159
13,14.04,0.5,0.544035293
21,19.708,0.5,0.8107938924
34,24.668,0.5,1.159855929
55,28.256,0.5,1.504964606
88,28.722,0.5,1.607294222
142,28.844,0.5,1.630477128
227,29.34,0.5,1.665229233
365,29.36934,0.5,1.665803017
586,28.82736934,0.5,1.624399038
941,29.36882737,0.5,1.665762789
1509,29.36936883,0.5,1.66580355
2422,28.82736937,0.5,1.624399039
3885,29.36882737,0.5,1.665762789
6233,29.36936883,0.5,1.66580355
10000,28.82736937,0.5,1.624399039
1,1,1,0
2,3.022,1,0.04664242704
3,5.532,1,0.1060800452
5,10.716,1,0.2650572466
8,19.308,1,0.5561952319
13,32.616,1,1.05107019
21,50.156,1,1.711876066
34,81.074,1,2.942929582
55,114.784,1,4.598304181
88,155.85,1,6.76288145
142,197.45,1,9.463243709
227,208.832,1,10.85789389
365,209.136832,1,11.04737662
586,208.1571368,1,10.94771707
941,209.1521571,1,11.04148781
1509,209.1531522,1,11.04158114
2422,208.1571532,1,10.94771123
3885,209.1521572,1,11.0414878
6233,209.1531522,1,11.04158114
10000,208.1571532,1,10.94771123
