time,MSD,epsilon,error
1,1,0.05,0
2,1.524,0.05,0.06142820199
3,2.248,0.05,0.09179594762
5,2.92,0.05,0.1471652133
8,3.14,0.05,0.1753065886
13,4.552,0.05,0.2867599972
21,4.672,0.05,0.3113140151
34,5.168,0.05,0.4135066819
55,4.096,0.05,0.2754174722
88,4.476,0.05,0.3252282645
142,4.064,0.05,0.2831746881
227,4.592,0.05,0.3785783089
365,4.228592,0.05,0.2829053158
586,4.408228592,0.05,0.3045413553
941,4.764408229,0.05,0.3481789657
1509,5.636764408,0.05,0.4544654169
2422,5.636764408,0.05,0.4917841986
3885,6.285877637,0.05,0.4674057559
6233,7.662285878,0.05,0.5779025485
10000,8.555662286,0.05,0.6544687348
1,1,0.1,0
2,1.596,0.1,0.06194177912
3,2.264,0.1,0.0922729863
5,3.104,0.1,0.1496301574
8,3.764,0.1,0.1952851863
13,5.184,0.1,0.2936633174
21,6.424,0.1,0.3683751132
34,8.652,0.1,0.4744416676
55,11.808,0.1,0.6861276383
88,13.104,0.1,0.8220542464
142,21.908,0.1,1.305345753
227,30.256,0.1,1.864246353
365,44.102256,0.1,2.196629658
586,72.85210226,0.1,3.507456826
941,104.0328521,0.1,4.9034942
1509,156.1680329,0.1,7.261363275
2422,269.196168,0.1,12.73306165
3885,382.9091962,0.1,16.59212635
6233,652.7749092,0.1,28.8326148
10000,1062.556775,0.1,47.95866761
1,1,0.2,0
2,1.6,0.2,0.06196773354
3,2.544,0.2,0.09984019231
5,3.392,0.2,0.150433826
8,4.728,0.2,0.2213007366
13,7.512,0.2,0.377563049
21,10.976,0.2,0.5354618791
34,17.208,0.2,0.8053699374
55,26.936,0.2,1.240062863
88,41.376,0.2,1.915117392
142,66.552,0.2,3.10562575
227,106.52,0.2,4.766173476
365,172.63452,0.2,7.484128368
586,281.7006345,0.2,12.18759399
941,437.6897006,0.2,18.82972699
1509,693.9256897,0.2,32.10261466
2422,1128.785926,0.2,49.82148674
3885,1702.184786,0.2,77.14740045
6233,2791.142185,0.2,127.9929989
10000,4198.123142,0.2,184.6314365
